timestamp,latitude,longitude,sog_kts,cog,hdg_true,roll,pitch
2024-08-04T11:50:17.050,45.8746333,10.8657250,3.000,238.4,232.1,3.0,-9.0
2024-08-04T11:50:17.643,45.8746333,10.8657250,3.000,238.4,233.4,3.5,-8.9
2024-08-04T11:50:19.143,45.8746383,10.8657150,2.900,239.5,233.6,5.2,-9.0
2024-08-04T11:50:19.644,45.8746350,10.8657083,2.700,237.8,232.7,3.7,-9.8
2024-08-04T11:50:20.051,45.8746316,10.8657016,2.800,240.2,230.9,4.7,-8.9
2024-08-04T11:50:20.644,45.8746283,10.8656916,2.700,238.5,228.2,4.4,-9.5
2024-08-04T11:50:21.051,45.8746233,10.8656866,2.800,225.9,228.7,2.1,-8.4
2024-08-04T11:50:21.634,45.8746216,10.8656783,2.300,228.8,230.7,5.3,-9.2
2024-08-04T11:50:22.051,45.8746183,10.8656733,2.200,233.2,233.2,3.9,-9.4
2024-08-04T11:50:22.644,45.8746133,10.8656633,2.500,238.1,233.2,5.4,-8.8
2024-08-04T11:50:23.051,45.8746116,10.8656566,2.600,238.7,233.3,3.3,-12.1
2024-08-04T11:50:23.644,45.8746083,10.8656483,2.300,254.0,232.6,0.8,-9.3
2024-08-04T11:50:24.051,45.8746066,10.8656433,2.300,247.7,235.5,0.2,-11.1
2024-08-04T11:50:24.644,45.8746050,10.8656333,2.400,240.4,236.3,1.9,-9.1
2024-08-04T11:50:25.053,45.8746016,10.8656283,2.500,245.5,237.4,1.7,-9.1
2024-08-04T11:50:25.644,45.8746000,10.8656200,2.400,246.1,237.2,5.2,-9.9
2024-08-04T11:50:26.053,45.8745983,10.8656150,2.000,250.1,236.9,3.9,-9.6
2024-08-04T11:50:26.647,45.8745966,10.8656066,2.000,257.6,237.1,8.9,-10.7
2024-08-04T11:50:27.054,45.8745950,10.8656016,2.300,248.7,235.7,10.2,-7.8
2024-08-04T11:50:27.647,45.8745916,10.8655916,2.500,231.2,229.3,13.6,-9.5
2024-08-04T11:50:28.148,45.8745883,10.8655850,2.700,233.5,230.3,14.5,-10.4
2024-08-04T11:50:28.648,45.8745850,10.8655766,2.600,240.7,232.7,9.7,-9.8
2024-08-04T11:50:29.056,45.8745816,10.8655716,2.600,239.5,236.1,7.5,-8.9
2024-08-04T11:50:29.647,45.8745783,10.8655616,2.700,246.8,237.4,5.5,-8.8
2024-08-04T11:50:30.055,45.8745750,10.8655550,2.700,234.2,236.1,0.1,-9.0
2024-08-04T11:50:30.554,45.8745716,10.8655450,2.900,235.3,232.9,3.4,-10.0
2024-08-04T11:50:31.060,45.8745683,10.8655366,2.900,238.7,231.1,4.7,-10.1
2024-08-04T11:50:31.552,45.8745650,10.8655283,2.900,232.1,230.5,0.9,-8.1
2024-08-04T11:50:32.061,45.8745616,10.8655200,2.800,238.1,230.5,2.9,-9.7
2024-08-04T11:50:32.553,45.8745583,10.8655116,2.700,240.8,230.3,5.6,-8.6
2024-08-04T11:50:33.062,45.8745550,10.8655016,2.800,248.6,234.3,6.4,-10.9
2024-08-04T11:50:33.552,45.8745516,10.8654916,3.200,249.3,239.5,7.3,-9.7
2024-08-04T11:50:34.059,45.8745500,10.8654833,2.800,253.2,244.4,10.6,-9.7
2024-08-04T11:50:34.651,45.8745466,10.8654733,2.500,247.3,245.7,10.3,-8.8
2024-08-04T11:50:35.060,45.8745450,10.8654666,2.400,252.9,244.8,14.7,-10.5
2024-08-04T11:50:35.651,45.8745433,10.8654583,2.300,247.5,241.6,14.4,-8.7
2024-08-04T11:50:36.059,45.8745416,10.8654516,2.100,249.3,239.8,19.3,-11.5
2024-08-04T11:50:36.648,45.8745400,10.8654466,1.800,247.8,235.1,22.7,-9.4
2024-08-04T11:50:37.057,45.8745383,10.8654416,1.900,234.1,235.1,22.9,-8.8
2024-08-04T11:50:37.553,45.8745350,10.8654333,2.400,235.2,237.0,17.2,-9.9
2024-08-04T11:50:38.058,45.8745300,10.8654250,2.900,237.9,235.7,11.9,-8.2
2024-08-04T11:50:38.554,45.8745266,10.8654166,3.000,234.3,232.5,3.8,-10.7
2024-08-04T11:50:39.056,45.8745216,10.8654066,3.200,233.0,233.0,-1.5,-10.9
2024-08-04T11:50:39.555,45.8745166,10.8653966,3.400,238.6,235.2,-5.2,-10.1
2024-08-04T11:50:40.061,45.8745133,10.8653883,3.200,241.8,236.8,-4.6,-9.1
2024-08-04T11:50:40.562,45.8745100,10.8653783,3.200,241.0,234.7,-2.1,-9.9
2024-08-04T11:50:41.062,45.8745050,10.8653683,3.200,239.7,234.1,-3.7,-10.4
2024-08-04T11:50:41.562,45.8745016,10.8653650,3.400,238.8,231.2,-0.6,-8.7
2024-08-04T11:50:42.062,45.8744966,10.8653583,3.400,236.0,231.0,-1.1,-9.7
2024-08-04T11:50:42.564,45.8744933,10.8653483,3.400,233.9,229.9,-0.5,-9.8
